title,composer,style,key,transpose,comp_style,bpm,repeats,time_signature,chords
'S Wonderful,"George Gershwin, Ira Gershwin (1927)",Medium Swing,Eb,,Jazz-Medium Swing,170,8,"(4, 4)","['Eb', 'Eb', 'Eo', 'Eo', 'F-7', 'Bb7', 'Eb', 'Eb', 'Eb', 'Eb', 'Eo', 'Eo', 'F-7', 'Bb7', 'Eb', 'A-7', 'D7', 'G', 'A-7', 'D7', 'G', 'A-7', 'D7', 'C7', 'F7', 'Bb7', 'Eb', 'Eb', 'Gbo', 'Gbo', 'F-7', 'Bb7', 'Eb', 'Eb', 'Eo', 'Eo', 'F-7', 'Bb7', 'Eb', 'Eb', 'Eb', 'Eb', 'Eb', 'Eo', 'Eo', 'F-7', 'Bb7', 'Eb', 'G-7', 'C7', 'F-7', 'Bb7', 'Eb', 'Eb']"
'Tain't No Sin To Take Off Your Skin,"Walter Donaldson, Edgar Leslie (1929)",Medium Swing,Eb,,0,0,,"(4, 4)","['Eb', 'Bb7', 'Eb', 'Bb7', 'Eb', 'F7', 'Bb7', 'Eb', 'Ab', 'Eb', 'Bb7', 'Eb', 'Bb7', 'Eb', 'Bb7', 'Eb', 'F7', 'Bb7', 'Eb', 'Eb', 'Eb7', 'F-', 'G7', 'C7', 'F7', 'Bb7', 'Bb7', 'Bb-7', 'Eb7', 'Ab', 'C-', 'Ab7', 'C-', 'Ab7', 'Eb', 'Bb7', 'Eb', 'Bb7', 'Eb', 'Bb7', 'Eb', 'Eb7', 'F-', 'G7', 'C7', 'F7', 'Bb7', 'Bb7', 'Bb-7', 'Eb7', 'Ab']"
'Tain't What You Do (It's The Way That Cha Do It),"Sy Oliver, Trummy Young (1939)",Medium Swing,Bb,,Jazz-Medium Swing,100,3,"(4, 4)","['Bb', 'Bb7', 'Eb', 'Gb7', 'Bb', 'Bo', 'C-7', 'F7', 'Bb', 'Bb7', 'Eb', 'Eb-', 'Bb', 'F7', 'Bb', 'Bb', 'Bb7', 'Eb', 'F7', 'Bb', 'Bb7', 'Eb', 'F7', 'Eb', 'Eb-', 'F7', 'Bb', 'Bb', 'Bb7', 'Eb', 'F7', 'Bb', 'Bb7', 'Eb', 'F7', 'Eb', 'Eb-', 'F7', 'Bb', 'Bb7', 'Eb', 'F7', 'Bb', 'Bb7', 'Eb', 'Eo', 'Bb', 'Bo', 'C-7', 'F7', 'Bb', 'Bb7', 'Eb', 'F7', 'Bb', 'Bb7', 'Eb', 'F7', 'Eb', 'Eb-', 'F7', 'Bb']"
101 Eastbound,Fourplay,Funk,Eb-,,0,0,,"(4, 4)","['Eb-', 'Eb-', 'Eb-', 'Eb-', 'Eb-', 'Ab-', 'Ab-', 'Dbsus', 'Dbsus', 'Dbsus', 'Bb7', 'Eb-', 'Eb-', 'Eb-', 'Eb-', 'Ab-', 'Ab-', 'Dbsus', 'Dbsus', 'Dbsus', 'Bb7', 'Eb-', 'Eb-', 'Ab-', 'G7', 'F#-', 'B7', 'E7#11', 'Eb-', 'D7', 'Dbsus', 'Db7b9', 'Dbsus', 'Bb7', 'Eb-', 'Eb-', 'Ab-', 'Ab-', 'Dbsus', 'Dbsus', 'Dbsus', 'Bb7', 'Eb-', 'Eb-']"
26-2,Coltrane John,Medium Up Swing,F,,0,0,,"(4, 4)","['F^7', 'Ab7', 'Db^7', 'E7', 'A^7', 'C7', 'C-7', 'F7', 'Bb^7', 'Db7', 'Gb^7', 'A7', 'D-7', 'G7', 'G-7', 'C7', 'F^7', 'Ab7', 'Db^7', 'E7', 'A^7', 'C7', 'C-7', 'F7', 'Bb^7', 'Ab7', 'Db^7', 'E7', 'A^7', 'C7', 'F^7', 'C-7', 'F7', 'E-7', 'A7', 'D^7', 'F7', 'Bb^7', 'Eb-7', 'Ab7', 'Db^7', 'G-7', 'C7', 'F^7', 'Ab7', 'Db^7', 'E7', 'A^7', 'C7', 'C-7', 'F7', 'Bb^7', 'Ab7', 'Db^7', 'E7', 'A^7', 'C7', 'F^7']"
500 Miles High,Corea Chick,Bossa Nova,E-,,0,0,,"(4, 4)","['E-7', 'E-7', 'G-7', 'G-7', 'Bb^7', 'Bb^7', 'Bh7', 'E7#9', 'A-7', 'A-7', 'F#h7', 'F#h7', 'F-7', 'F-7', 'C-7', 'C-7', 'B7#9', 'B7#9', 'E-7', 'E-7', 'G-7', 'G-7', 'Bb^7', 'Bb^7', 'Bh7', 'E7#9', 'A-7', 'A-7', 'F#h7', 'F#h7', 'F-7', 'F-7', 'C-7', 'C-7', 'Ab^7', 'Ab^7', 'C-7', 'C-7', 'Ab^7', 'Ab^7']"
502 Blues,Rowles Jimmy,Waltz,A-,,0,0,,"(3, 4)","['A-7', 'Db^7', 'Bh7', 'E7#9', 'A-7', 'Db^7', 'Bh7', 'E7#9', 'C-7', 'F7b9', 'Bb^7', 'Ab-7', 'Db7', 'F#h7', 'B7b9', 'E^7#5', 'E^7#5', 'E7', 'A-7', 'Db^7', 'Bh7', 'E7#9', 'A-7', 'Db^7', 'Bh7', 'E7#9', 'C-7', 'F7b9', 'Bb^7', 'Ab-7', 'Db7', 'F#h7', 'B7b9', 'E-7', 'E-7']"
52nd Street Theme,Monk Thelonious,Up Tempo Swing,C,,0,0,,"(4, 4)","['C', 'A-7', 'D-7', 'G7', 'C', 'A-7', 'D-7', 'G7', 'C', 'A-7', 'D-7', 'G7', 'C', 'G7', 'C', 'C', 'A-7', 'D-7', 'G7', 'C', 'A-7', 'D-7', 'G7', 'C', 'A-7', 'D-7', 'G7', 'C', 'G7', 'C', 'C7', 'C7', 'F6', 'F6', 'D7', 'D7', 'G7', 'G7', 'C', 'A-7', 'D-7', 'G7', 'C', 'A-7', 'D-7', 'G7', 'C', 'A-7', 'D-7', 'G7', 'C', 'G7', 'C']"
9.20 Special,Warren Earl,Medium Swing,C,,0,0,,"(4, 4)","['C9', 'Eb-6', 'C9', 'Eb-6', 'Bb', 'Bb7', 'A7', 'Ab7', 'G7', 'C9', 'F#o7', 'C9', 'Ab7', 'G7', 'C9', 'Eb-6', 'C9', 'Eb-6', 'Bb', 'Bb7', 'A7', 'Ab7', 'G7', 'C9', 'F#o7', 'C9', 'F7', 'Bb', 'Bb', 'Eb', 'Eb6', 'Eb6', 'Eb6', 'G9', 'F', 'F6', 'F9', 'F7', 'C9', 'Eb-6', 'C9', 'Eb-6', 'Bb', 'Bb7', 'A7', 'Ab7', 'G7', 'C9', 'F#o7', 'C6', 'F7', 'Bb', 'D9']"
A Ballad,Mulligan Gerry,Slow Swing,C,,0,0,,"(4, 4)","['D-7', 'G7b9', 'C^7', 'C#-7', 'F#7#9', 'B^7', 'E-7', 'A7', 'Gh', 'F#-7', 'B7b9', 'E-7', 'A7b9', 'F#-7', 'B7b9', 'E-7', 'G-6', 'F#-7', 'Fo7', 'E-7', 'A7b9', 'D-7', 'G7', 'E-7', 'A7b9', 'D-7', 'F-^7', 'E-7', 'Ebo7', 'D-7', 'G7b9', 'C^7', 'F-7', 'Bb7', 'G-7', 'Gbo7', 'F-7', 'Bb7b9', 'Eb^7', 'Eb-7', 'Ab7', 'Db^7', 'E-7', 'Eb-7', 'Ab7b9', 'Db^7', 'E-7', 'A7', 'D-7', 'G7b9', 'C^7', 'C#-7', 'F#7#9', 'B^7', 'E-7', 'A7', 'Gh', 'F#-7', 'B7b9', 'E-7', 'A7b9', 'F#-7', 'B7b9', 'E-7', 'G-6', 'F#-7', 'Fo7', 'E-7', 'A7b9', 'D^7', 'D-7', 'G7b9', 'C^7', 'C#-7', 'F#7#9', 'B^7', 'E-7', 'A7', 'Gh', 'F#-7', 'B7b9', 'E-7', 'A7b9', 'F#-7', 'B7b9', 'E-7', 'G-6', 'F#-7', 'Fo7', 'E-7', 'A7b9', 'D-7', 'G7', 'E-7', 'A7b9', 'D-7', 'F-^7', 'E-7', 'Ebo7', 'D-7', 'G7b9', 'C^7', 'F-7', 'Bb7', 'G-7', 'Gbo7', 'F-7', 'Bb7b9', 'Eb^7', 'Eb-7', 'Ab7', 'Db^7', 'E-7', 'Eb-7', 'Ab7b9', 'Db^7', 'E-7', 'A7', 'D-7', 'G7b9', 'C^7', 'C#-7', 'F#7#9', 'B^7', 'E-7', 'A7', 'Gh', 'F#-7', 'B7b9', 'E-7', 'A7b9', 'F#-7', 'B7b9', 'E-7', 'G-6', 'F#-7', 'Fo7', 'E-7', 'A7b9', 'D^7', 'D-7', 'G7', 'E-7', 'A7#9', 'D7', 'Ab7', 'Abo', 'Ao', 'Bbo', 'Bo', 'C', 'Db^7', 'C^9']"
