Chord	Type	Root	Class
Bb7	7	Bb	Dom
D7	7	D	Dom
C7	7	C	Dom
F7	7	F	Dom
B7	7	B	Dom
Eb7	7	Eb	Dom
Db7	7	Db	Dom
Gb7	7	Gb	Dom
E7	7	E	Dom
G7	7	G	Dom
Ab7	7	Ab	Dom
A7	7	A	Dom
F-7	-7	F	Min
A-7	-7	A	Min
G-7	-7	G	Min
Gb-7	-7	Gb	Min
Bb-7	-7	Bb	Min
Ab-7	-7	Ab	Min
B-7	-7	B	Min
C-7	-7	C	Min
Db-7	-7	Db	Min
D-7	-7	D	Min
Eb-7	-7	Eb	Min
E-7	-7	E	Min
Eb	Maj	Eb	Maj
G	Maj	G	Maj
E	Maj	E	Maj
Ab	Maj	Ab	Maj
F	Maj	F	Maj
A	Maj	A	Maj
Gb	Maj	Gb	Maj
Bb	Maj	Bb	Maj
B	Maj	B	Maj
C	Maj	C	Maj
Db	Maj	Db	Maj
D	Maj	D	Maj
F^7	^7	F	Maj
Db^7	^7	Db	Maj
A^7	^7	A	Maj
Bb^7	^7	Bb	Maj
Gb^7	^7	Gb	Maj
D^7	^7	D	Maj
B^7	^7	B	Maj
G^7	^7	G	Maj
Eb^7	^7	Eb	Maj
C^7	^7	C	Maj
Ab^7	^7	Ab	Maj
E^7	^7	E	Maj
F-	-	F	Min
C-	-	C	Min
Gb-	-	Gb	Min
Db-	-	Db	Min
G-	-	G	Min
D-	-	D	Min
Ab-	-	Ab	Min
Eb-	-	Eb	Min
A-	-	A	Min
E-	-	E	Min
Bb-	-	Bb	Min
B-	-	B	Min
F6	6	F	Maj
Gb6	6	Gb	Maj
G6	6	G	Maj
Ab6	6	Ab	Maj
A6	6	A	Maj
Bb6	6	Bb	Maj
B6	6	B	Maj
C6	6	C	Maj
Db6	6	Db	Maj
D6	6	D	Maj
Eb6	6	Eb	Maj
E6	6	E	Maj
Db7b9	7b9	Db	Dom
D7b9	7b9	D	Dom
Eb7b9	7b9	Eb	Dom
E7b9	7b9	E	Dom
F7b9	7b9	F	Dom
Gb7b9	7b9	Gb	Dom
G7b9	7b9	G	Dom
Ab7b9	7b9	Ab	Dom
A7b9	7b9	A	Dom
Bb7b9	7b9	Bb	Dom
B7b9	7b9	B	Dom
C7b9	7b9	C	Dom
Bh7	h7	B	Hdim
Gbh7	h7	Gb	Hdim
Ch7	h7	C	Hdim
Gh7	h7	G	Hdim
Dbh7	h7	Db	Hdim
Abh7	h7	Ab	Hdim
Dh7	h7	D	Hdim
Ah7	h7	A	Hdim
Ebh7	h7	Eb	Hdim
Bbh7	h7	Bb	Hdim
Eh7	h7	E	Hdim
Fh7	h7	F	Hdim
Gbo7	o7	Gb	Dim
Go7	o7	G	Dim
Abo7	o7	Ab	Dim
Ao7	o7	A	Dim
Bbo7	o7	Bb	Dim
Bo7	o7	B	Dim
Co7	o7	C	Dim
Dbo7	o7	Db	Dim
Do7	o7	D	Dim
Ebo7	o7	Eb	Dim
Eo7	o7	E	Dim
Fo7	o7	F	Dim
C9	9	C	Dom
G9	9	G	Dom
F9	9	F	Dom
D9	9	D	Dom
Db9	9	Db	Dom
Ab9	9	Ab	Dom
Gb9	9	Gb	Dom
Eb9	9	Eb	Dom
A9	9	A	Dom
E9	9	E	Dom
Bb9	9	Bb	Dom
B9	9	B	Dom
Eo	o	E	Dim
Gbo	o	Gb	Dim
Fo	o	F	Dim
Go	o	G	Dim
Abo	o	Ab	Dim
Ao	o	A	Dim
Bbo	o	Bb	Dim
Bo	o	B	Dim
Co	o	C	Dim
Dbo	o	Db	Dim
Do	o	D	Dim
Ebo	o	Eb	Dim
Eb-6	-6	Eb	Min
E-6	-6	E	Min
F-6	-6	F	Min
Gb-6	-6	Gb	Min
G-6	-6	G	Min
Ab-6	-6	Ab	Min
A-6	-6	A	Min
Bb-6	-6	Bb	Min
B-6	-6	B	Min
C-6	-6	C	Min
Db-6	-6	Db	Min
D-6	-6	D	Min
F7sus	7sus	F	Dom
Gb7sus	7sus	Gb	Dom
G7sus	7sus	G	Dom
Ab7sus	7sus	Ab	Dom
A7sus	7sus	A	Dom
Bb7sus	7sus	Bb	Dom
B7sus	7sus	B	Dom
C7sus	7sus	C	Dom
Db7sus	7sus	Db	Dom
D7sus	7sus	D	Dom
Eb7sus	7sus	Eb	Dom
E7sus	7sus	E	Dom
E7#9	7#9	E	Dom
B7#9	7#9	B	Dom
F7#9	7#9	F	Dom
C7#9	7#9	C	Dom
Gb7#9	7#9	Gb	Dom
Db7#9	7#9	Db	Dom
G7#9	7#9	G	Dom
D7#9	7#9	D	Dom
Ab7#9	7#9	Ab	Dom
Eb7#9	7#9	Eb	Dom
A7#9	7#9	A	Dom
Bb7#9	7#9	Bb	Dom
Gb-11	-11	Gb	Min
A-11	-11	A	Min
G-11	-11	G	Min
Bb-11	-11	Bb	Min
Ab-11	-11	Ab	Min
B-11	-11	B	Min
C-11	-11	C	Min
Db-11	-11	Db	Min
D-11	-11	D	Min
Eb-11	-11	Eb	Min
E-11	-11	E	Min
F-11	-11	F	Min
F-9	-9	F	Min
Gb-9	-9	Gb	Min
G-9	-9	G	Min
Ab-9	-9	Ab	Min
A-9	-9	A	Min
Bb-9	-9	Bb	Min
B-9	-9	B	Min
C-9	-9	C	Min
Db-9	-9	Db	Min
D-9	-9	D	Min
Eb-9	-9	Eb	Min
E-9	-9	E	Min
G7#5	7#5	G	Dom
Ab7#5	7#5	Ab	Dom
A7#5	7#5	A	Dom
Bb7#5	7#5	Bb	Dom
B7#5	7#5	B	Dom
C7#5	7#5	C	Dom
Db7#5	7#5	Db	Dom
D7#5	7#5	D	Dom
Eb7#5	7#5	Eb	Dom
E7#5	7#5	E	Dom
F7#5	7#5	F	Dom
Gb7#5	7#5	Gb	Dom
Bb13	13	Bb	Dom
Eb13	13	Eb	Dom
B13	13	B	Dom
E13	13	E	Dom
C13	13	C	Dom
F13	13	F	Dom
Db13	13	Db	Dom
Gb13	13	Gb	Dom
D13	13	D	Dom
G13	13	G	Dom
Ab13	13	Ab	Dom
A13	13	A	Dom
E7#11	7#11	E	Dom
F7#11	7#11	F	Dom
Gb7#11	7#11	Gb	Dom
G7#11	7#11	G	Dom
Ab7#11	7#11	Ab	Dom
A7#11	7#11	A	Dom
Bb7#11	7#11	Bb	Dom
B7#11	7#11	B	Dom
C7#11	7#11	C	Dom
Db7#11	7#11	Db	Dom
D7#11	7#11	D	Dom
Eb7#11	7#11	Eb	Dom
C^7#11	^7#11	C	Maj
G^7#11	^7#11	G	Maj
Db^7#11	^7#11	Db	Maj
Ab^7#11	^7#11	Ab	Maj
D^7#11	^7#11	D	Maj
A^7#11	^7#11	A	Maj
Eb^7#11	^7#11	Eb	Maj
Bb^7#11	^7#11	Bb	Maj
E^7#11	^7#11	E	Maj
B^7#11	^7#11	B	Maj
F^7#11	^7#11	F	Maj
Gb^7#11	^7#11	Gb	Maj
G+	+	G	Aug
Ab+	+	Ab	Aug
A+	+	A	Aug
Bb+	+	Bb	Aug
B+	+	B	Aug
C+	+	C	Aug
Db+	+	Db	Aug
D+	+	D	Aug
Eb+	+	Eb	Aug
E+	+	E	Aug
F+	+	F	Aug
