title,composer,style,key,transpose,comp_style,bpm,repeats,time_signature,notes_numbers
Trane's Blues (Vierd Blues),Davis Miles,Medium Swing,Bb,,150,0,,"(4, 4)","[[10, 14, 17, 20], [3, 7, 10, 13], [10, 14, 17, 20], [10, 14, 17, 20], [3, 7, 10, 13], [3, 7, 10, 13], [10, 14, 17, 20], [2, 5, 9, 12], [7, 11, 14, 17], [0, 3, 7, 10], [5, 9, 12, 15], [10, 14, 17, 20], [7, 11, 14, 17], [0, 3, 7, 10], [5, 9, 12, 15]]"
Fall,Shorter Wayne,Ballad,E-,,Jazz-Ballad Swing,82,3,"(4, 4)","[[1, 6, 11, 13, 16, 22], [11, 15, 18, 21, 24, 28, 32], [4, 9, 11, 14, 18, 20], [0, 5, 10, 12, 15, 21], [1, 6, 11, 13, 16, 22], [11, 15, 18, 21, 24, 28, 32], [4, 9, 11, 14, 18, 20], [3, 7, 10, 14, 21], [2, 6, 9], [2, 6, 9, 12, 15, 19, 23], [7, 10, 14, 17, 21, 24], [11, 14, 18, 21, 25], [8, 12, 15, 19, 26], [6, 11, 13, 16, 22], [11, 15, 18, 21, 24, 28, 32], [4, 7, 11, 14, 18, 21], [0, 4, 7, 11, 18], [0, 4, 7, 11, 18], [0, 4, 7, 11, 18], [0, 4, 7, 11, 18], [0, 4, 7, 11, 18]]"
Blue Train,Coltrane John,Medium Up Swing,Eb,,Jazz-Medium Up Swing,154,8,"(4, 4)","[[3, 7, 10, 13, 18], [3, 7, 10, 13, 18], [3, 7, 10, 13, 18], [3, 7, 10, 13, 18], [3, 7, 10, 13, 18], [3, 7, 10, 13, 18], [3, 7, 10, 13, 18], [10, 14, 17, 20, 25], [10, 14, 17, 20, 25], [3, 7, 10, 13, 18], [3, 7, 10, 13, 18], [3, 7, 10, 13, 18], [3, 7, 10, 13, 18], [3, 7, 10, 13, 18], [3, 7, 10, 13, 18], [3, 7, 10, 13, 18], [3, 7, 10, 13, 18], [3, 7, 10, 13, 18], [10, 14, 17, 20, 25], [10, 14, 17, 20, 25], [3, 7, 10, 13, 18], [3, 7, 10, 13, 18], [3, 7, 10, 13], [8, 12, 15, 18], [3, 7, 10, 13], [3, 7, 10, 13], [8, 12, 15, 18], [8, 12, 15, 18], [3, 7, 10, 13], [3, 7, 10, 13], [3, 7, 10, 13], [0, 4, 7, 10], [5, 8, 12, 15], [10, 14, 17, 20], [3, 7, 10, 13], [5, 9, 12, 15], [10, 14, 17, 20], [3, 7, 10, 13, 18], [3, 7, 10, 13, 18], [3, 7, 10, 13, 18], [3, 7, 10, 13, 18], [3, 7, 10, 13, 18], [3, 7, 10, 13, 18], [3, 7, 10, 13, 18], [10, 14, 17, 20, 25], [10, 14, 17, 20, 25], [3, 7, 10, 13, 18], [3, 7, 10, 13, 18], [3, 7, 10, 13, 18], [3, 7, 10, 13, 18], [3, 7, 10, 13, 18], [3, 7, 10, 13, 18], [3, 7, 10, 13, 18], [3, 7, 10, 13, 18], [3, 7, 10, 13, 18], [10, 14, 17, 20, 25], [10, 14, 17, 20, 25], [3, 7, 10, 13, 18], [3, 7, 10, 13, 18], [3, 7, 10, 13], [8, 12, 15, 18], [3, 7, 10, 13], [3, 7, 10, 13], [8, 12, 15, 18], [8, 12, 15, 18], [3, 7, 10, 13], [3, 7, 10, 13], [3, 7, 10, 13], [0, 4, 7, 10], [5, 8, 12, 15], [10, 14, 17, 20], [3, 7, 10, 13], [3, 7, 10, 13], [3, 7, 10, 13, 18], [3, 7, 10, 13, 18], [3, 7, 10, 13, 18], [3, 7, 10, 13, 18], [3, 7, 10, 13, 18], [3, 7, 10, 13, 18], [3, 7, 10, 13, 18], [10, 14, 17, 20, 25], [10, 14, 17, 20, 25], [3, 7, 10, 13, 18], [3, 7, 10, 13, 18], [3, 7, 10, 13, 18], [3, 7, 10, 13, 18], [3, 7, 10, 13, 18], [3, 7, 10, 13, 18], [3, 7, 10, 13, 18], [3, 7, 10, 13, 18], [3, 7, 10, 13, 18], [10, 14, 17, 20, 25], [10, 14, 17, 20, 25], [3, 7, 10, 13, 18], [3, 7, 10, 13, 18]]"
Cousin Mary,Coltrane John,Up Tempo Swing,Ab,,Jazz-Up Tempo Swing,218,3,"(4, 4)","[[8, 12, 15, 18], [3, 7, 10, 13, 18], [8, 12, 15, 18], [8, 12, 15, 18], [3, 7, 10, 13, 18], [8, 12, 15, 18], [8, 12, 15, 18], [2, 6, 9, 12, 16, 20], [1, 5, 8, 11, 15], [8, 12, 15, 18], [3, 7, 10, 13, 18], [8, 12, 15, 18], [2, 6, 9, 12, 16, 20], [1, 5, 8, 11, 15], [8, 12, 15, 18], [3, 7, 10, 13, 18], [8, 12, 15, 18], [8, 12, 15, 18], [3, 7, 10, 13, 18], [8, 12, 15, 18], [8, 12, 15, 18], [3, 7, 10, 13, 18], [8, 12, 15, 18], [8, 12, 15, 18], [2, 6, 9, 12, 16, 20], [1, 5, 8, 11, 15], [8, 12, 15, 18], [3, 7, 10, 13, 18], [8, 12, 15, 18], [2, 6, 9, 12, 16, 20], [1, 5, 8, 11, 15], [8, 12, 15, 18], [3, 7, 10, 13, 18], [8, 12, 15, 18], [8, 12, 15, 18], [8, 12, 15, 18], [8, 12, 15, 18], [8, 12, 15, 18], [1, 5, 8, 11, 15], [1, 5, 8, 11, 15], [8, 12, 15, 18], [8, 12, 15, 18], [2, 6, 9, 12, 16, 20], [1, 5, 8, 11, 15], [8, 12, 15, 18], [8, 12, 15, 18], [8, 12, 15, 18], [3, 7, 10, 13, 18], [8, 12, 15, 18], [8, 12, 15, 18], [3, 7, 10, 13, 18], [8, 12, 15, 18], [8, 12, 15, 18], [2, 6, 9, 12, 16, 20], [1, 5, 8, 11, 15], [8, 12, 15, 18], [3, 7, 10, 13, 18], [8, 12, 15, 18], [2, 6, 9, 12, 16, 20], [1, 5, 8, 11, 15], [8, 12, 15, 18], [3, 7, 10, 13, 18], [8, 12, 15, 18], [8, 12, 15, 18], [3, 7, 10, 13, 18], [8, 12, 15, 18], [8, 12, 15, 18], [3, 7, 10, 13, 18], [8, 12, 15, 18], [8, 12, 15, 18], [2, 6, 9, 12, 16, 20], [1, 5, 8, 11, 15], [8, 12, 15, 18], [3, 7, 10, 13, 18], [8, 12, 15, 18], [2, 6, 9, 12, 16, 20], [1, 5, 8, 11, 15], [8, 12, 15, 18], [3, 7, 10, 13, 18], [8, 12, 15, 18]]"
Beauty And The Beast (Wayne Shorter),Shorter Wayne,Funk Jazz,F,,Jazz-Even 8ths,140,1,"(4, 4)","[[5, 10, 14, 17], [5, 10, 14, 17], [5, 10, 14, 17], [5, 10, 14, 17], [5, 11, 14, 18], [-7, 0, 3, 7], [5, 10, 14, 17], [5, 10, 14, 17], [5, 10, 14, 17], [5, 10, 14, 17], [5, 10, 14, 17], [5, 10, 14, 17], [5, 10, 14, 17], [5, 11, 14, 18], [-7, 0, 3, 7], [5, 10, 14, 17], [5, 10, 14, 17], [5, 10, 14, 17], [5, 10, 14, 17], [5, 10, 14, 17], [5, 10, 14, 17], [5, 10, 14, 17], [5, 9, 12, 15, 19, 22, 26], [4, 8, 12, 14, 19], [9, 12, 16, 19, 23], [9, 12, 16, 19, 23], [11, 15, 19, 21, 26], [4, 8, 12, 14, 19], [9, 12, 16, 19, 23], [9, 12, 16, 19, 23], [7, 10, 14, 17, 21], [0, 4, 7, 10, 14, 17, 21], [0, 4, 8, 10, 14], [5, 8, 12, 15, 19], [5, 10, 14, 17, 20, 24, 27, 31], [3, 6, 10, 13, 17], [8, 12, 15, 18, 21, 25, 29], [1, 5, 8, 12, 15], [1, 5, 8, 12, 15], [0, 4, 7, 10, 15, 18], [0, 4, 7, 10, 15, 18], [5, 10, 14, 17], [5, 10, 14, 17], [5, 10, 14, 17], [5, 10, 14, 17], [5, 11, 14, 18], [-7, 0, 3, 7], [5, 10, 14, 17], [5, 10, 14, 17], [5, 10, 14, 17], [5, 10, 14, 17], [5, 10, 14, 17], [5, 10, 14, 17], [5, 10, 14, 17], [5, 9, 12, 15, 19, 22, 26], [4, 8, 12, 14, 19], [9, 12, 16, 19, 23], [9, 12, 16, 19, 23], [11, 15, 19, 21, 26], [4, 8, 12, 14, 19], [9, 12, 16, 19, 23], [9, 12, 16, 19, 23], [7, 10, 14, 17, 21], [0, 4, 7, 10, 14, 17, 21], [0, 4, 8, 10, 14], [5, 8, 12, 15, 19], [5, 10, 14, 17, 20, 24, 27, 31], [3, 6, 10, 13, 17], [8, 12, 15, 18, 21, 25, 29], [1, 5, 8, 12, 15], [1, 5, 8, 12, 15], [0, 4, 7, 10, 15, 18], [0, 4, 7, 10, 15, 18], [11, 14, 18, 21, 25], [4, 8, 11, 14, 18, 21, 25], [9, 12, 16, 19, 23], [2, 6, 9, 12, 16, 19, 23], [7, 10, 13, 17, 21], [7, 10, 13, 17, 21], [0, 4, 7, 10, 15, 18], [0, 4, 7, 10, 15, 18], [5, 10, 14, 17], [5, 10, 14, 17], [5, 10, 14, 17], [5, 10, 14, 17], [5, 11, 14, 18], [-7, 0, 3, 7], [5, 10, 14, 17], [5, 10, 14, 17], [5, 10, 14, 17], [5, 9, 12, 15, 19, 22, 26], [4, 8, 12, 14, 19]]"
Footprints,Shorter Wayne,Jazz Waltz,C-,,Jazz-Medium Swing,136,8,"(6, 4)","[[0, 3, 7, 10, 14, 17], [0, 3, 7, 10, 14, 17], [0, 3, 7, 10, 14, 17], [0, 3, 7, 10, 14, 17], [0, 3, 7, 10, 14, 17], [0, 3, 7, 10, 14, 17], [0, 3, 7, 10, 14, 17], [0, 3, 7, 10, 14, 17], [5, 8, 12, 15, 19, 22], [5, 8, 12, 15, 19, 22], [0, 3, 7, 10, 14, 17], [0, 3, 7, 10, 14, 17], [-6, 0, 4, 7, 11], [5, 9, 12, 15, 23, 22, 26], [4, 8, 11, 14, 22, 21, 25], [9, 13, 17, 19, 24], [0, 3, 7, 10, 14, 17], [0, 3, 7, 10, 14, 17], [0, 3, 7, 10, 14, 17], [0, 3, 7, 10, 14, 17], [0, 3, 7, 10, 14, 17], [0, 3, 7, 10, 14, 17], [5, 8, 12, 15, 19, 22], [5, 8, 12, 15, 19, 22], [0, 3, 7, 10, 14, 17], [0, 3, 7, 10, 14, 17], [-6, 0, 4, 7, 11], [5, 9, 12, 15, 23, 22, 26], [4, 8, 11, 14, 22, 21, 25], [9, 13, 17, 19, 24], [0, 3, 7, 10, 14, 17], [0, 3, 7, 10, 14, 17], [0, 3, 7, 10, 14, 17], [0, 3, 7, 10, 14, 17], [0, 3, 7, 10, 14, 17], [0, 3, 7, 10, 14, 17]]"
I Love You For Sentimental Reasons,William Best (Nat King Cole),Slow Swing,Db,,Jazz-Slow Swing,75,1,"(4, 4)","[[1, 5, 8], [1, 5, 8, 11], [6, 10, 13], [11, 15, 18, 21, 25], [1, 5, 8], [10, 13, 17, 20], [3, 6, 10, 13], [8, 12, 15, 18, 21, 25, 29], [1, 5, 8], [10, 13, 17, 20], [3, 6, 10, 13], [8, 12, 15, 18, 21, 25, 29], [1, 5, 8], [1, 5, 8, 11], [6, 10, 13], [11, 15, 18, 21, 25], [1, 5, 8], [10, 13, 17, 20], [3, 6, 10, 13], [8, 12, 15, 18, 21, 25, 29], [1, 5, 8], [10, 13, 17, 20], [3, 6, 10, 13], [8, 12, 15, 18, 21, 25, 29], [1, 5, 8, 10], [1, 5, 8, 10], [8, 11, 15, 18], [7, 11, 14, 17, 21], [6, 10, 13, 15], [7, 10, 13, 16], [8, 5, 12, 15], [10, 14, 17, 20, 23], [3, 6, 10, 13], [8, 12, 15, 18], [1, 5, 8], [1, 5, 8, 10], [0, 3, 6], [5, 9, 12, 15, 18], [10, 13, 17, 20], [3, 8, 10, 13, 17, 19], [3, 7, 10, 13, 17], [8, 13, 15, 18, 22, 24], [8, 12, 15, 18, 21, 25, 29], [1, 5, 8], [1, 5, 8, 11], [6, 10, 13], [11, 15, 18, 21, 25], [1, 5, 8], [10, 13, 17, 20], [3, 6, 10, 13], [8, 12, 15, 18, 21, 25, 29], [1, 5, 8], [10, 13, 17, 20], [3, 6, 10, 13], [8, 12, 15, 18, 21, 25, 29], [1, 5, 8, 10], [3, 7, 10, 13, 17], [2, 6, 9, 12, 16], [1, 5, 8, 10]]"
Georgia On My Mind (Ray Charles version),Hoagy Carmichael (Ray Charles),Slow Swing,G,,65,1,,"(4, 4)","[[7, 11, 14], [6, 11, 14, 18], [4, 7, 11], [-9, 0, 7], [1, 4, 7, 10], [2, 7, 11, 14], [9, 12, 16, 19, 23, 26], [2, 6, 9, 12, 16, 19, 23], [7, 11, 14, 16], [6, 11, 15, 18, 21], [11, 15, 18], [4, 7, 11], [2, 7, 11, 14, 17], [0, 4, 7, 10], [1, 4, 7, 10], [2, 7, 11, 14], [4, 8, 12, 14], [9, 13, 16, 19, 23], [9, 13, 16, 19, 23], [2, 7, 9, 12, 16, 18], [2, 6, 9, 12, 15], [5, 9, 12, 15, 19, 23], [4, 8, 11, 14, 18], [9, 13, 16, 19, 23], [2, 6, 9, 12, 15, 19, 23], [7, 11, 14, 16], [6, 11, 15, 18, 21], [11, 15, 18], [4, 7, 11], [2, 7, 11, 14, 17], [0, 4, 7, 10], [1, 4, 7, 10], [2, 7, 11, 14], [4, 8, 11, 14, 18], [9, 13, 16, 19, 23], [2, 7, 9, 12, 16, 18], [7, 11, 14], [0, 4, 7, 10, 18, 17, 21], [7, 11, 14], [11, 15, 18, 21], [4, 7, 11], [4, 7, 11, 12], [4, 7, 11, 13], [4, 7, 11, 12], [4, 7, 11], [4, 7, 11, 12], [4, 7, 11, 14], [9, 13, 16, 19, 27, 26, 30], [4, 7, 11], [4, 7, 11, 12], [4, 7, 11, 14], [2, 6, 9], [1, 6, 10, 13, 16], [6, 10, 13], [11, 14, 18, 21], [10, 14, 17, 20, 28, 27, 31], [9, 13, 16, 19, 23, 27], [2, 6, 9, 12, 16], [7, 11, 14, 16], [6, 11, 15, 18, 21], [11, 15, 18], [4, 7, 11], [2, 7, 11, 14, 17], [0, 4, 7, 10], [1, 4, 7, 10], [2, 7, 11, 14], [4, 8, 12, 14], [9, 13, 16, 19, 23], [2, 6, 9, 12, 16], [7, 11, 14, 16], [0, 4, 7, 10, 18, 17, 21], [7, 11, 14, 18, 21], [7, 11, 14, 18, 21], [11, 15, 18, 21, 24], [11, 15, 18, 21], [4, 7, 11], [9, 12, 16], [4, 7, 11], [0, 4, 7, 10, 14, 17, 21], [4, 7, 11], [9, 12, 16], [4, 7, 11], [9, 13, 16, 19, 23], [4, 7, 11], [9, 12, 16], [4, 7, 11, 14], [2, 6, 9], [1, 6, 10, 13, 16], [6, 10, 13], [11, 14, 18, 21], [10, 14, 17, 20, 24, 27, 31], [9, 13, 16, 19, 23, 27], [2, 6, 9, 12, 16, 19, 23], [7, 11, 14, 16], [6, 11, 15, 18, 21], [11, 15, 18], [4, 7, 11], [2, 7, 11, 14, 17], [0, 4, 7, 10], [1, 4, 7, 10], [7, 11, 14, 16], [7, 11, 14, 16], [4, 8, 11, 14, 18, 22], [4, 8, 11, 14, 18], [9, 13, 16, 19, 23], [2, 6, 9, 12, 16, 19, 23], [5, 9, 12, 15, 19, 23], [4, 8, 11, 14, 18], [9, 13, 16, 19, 23], [2, 7, 9, 12, 16, 19, 23], [2, 6, 9, 12, 16, 19, 23], [7, 11, 14, 17, 21], [7, 11, 14, 17, 21], [0, 4, 7, 10, 14], [1, 4, 7, 10], [2, 7, 11, 14], [8, 12, 15, 18, 22], [7, 11, 14], [7, 11, 14, 17, 22]]"
Goodbye Pork Pie Hat,Mingus Charles,Slow Ballad,Eb,,Jazz-Ballad Swing,52,1,"(4, 4)","[[3, 7, 10, 13], [11, 15, 18, 21, 25, 28, 32], [4, 8, 11, 15, 18], [9, 13, 16, 19, 23, 27], [1, 5, 8, 11, 15, 18, 22], [11, 15, 18, 21, 25], [1, 5, 8, 11, 15, 18, 22], [3, 7, 10, 13], [8, 11, 15, 18], [11, 15, 18, 21, 25, 29], [5, 8, 12, 15], [10, 14, 18, 20, 25], [0, 4, 7, 10, 14, 18], [5, 9, 12, 15, 19, 22, 26], [11, 15, 18, 21], [4, 8, 11, 15, 18], [9, 13, 16, 19, 23, 27], [8, 12, 15, 18, 22], [10, 14, 17, 20], [1, 5, 8, 11], [3, 7, 10, 13, 18], [11, 15, 18, 21, 25], [4, 8, 11, 15, 18], [9, 13, 16, 19, 23, 27], [3, 7, 10, 13], [11, 15, 18, 21, 25, 28, 32], [4, 8, 11, 15, 18], [9, 13, 16, 19, 23, 27], [1, 5, 8, 11, 15, 18, 22], [11, 15, 18, 21, 25], [1, 5, 8, 11, 15, 18, 22], [3, 7, 10, 13], [8, 11, 15, 18], [11, 15, 18, 21, 25, 29], [5, 8, 12, 15], [10, 14, 18, 20, 25], [0, 4, 7, 10, 14, 18], [5, 9, 12, 15, 19, 22, 26], [11, 15, 18, 21], [4, 8, 11, 15, 18], [9, 13, 16, 19, 23, 27], [8, 12, 15, 18, 22], [10, 14, 17, 20], [1, 5, 8, 11], [3, 7, 10, 13, 18], [11, 15, 18, 21, 25], [4, 8, 11, 15, 18], [9, 13, 16, 19, 23, 27], [3, 6, 10, 14], [8, 11, 15, 18], [3, 6, 10, 14], [8, 11, 15, 18], [3, 6, 10, 14], [8, 11, 15, 18], [3, 6, 10, 14], [9, 13, 16, 19, 23, 27], [8, 11, 15, 18], [8, 11, 15, 17], [11, 15, 18, 21, 29, 28, 32], [4, 8, 11, 14, 22, 21, 25], [3, 6, 10, 14], [8, 12, 15, 18, 22, 26], [3, 6, 10, 14], [8, 12, 15, 18, 22, 26], [0, 3, 6], [5, 9, 13, 15, 20], [6, 9, 13, 16], [11, 14, 18, 21], [10, 14, 18, 20, 25], [3, 6, 10, 14], [8, 12, 15, 18, 22], [3, 6, 10, 14], [3, 6, 10, 14], [8, 11, 15, 18], [3, 6, 10, 14], [8, 11, 15, 18], [3, 6, 10, 14], [8, 11, 15, 18], [3, 6, 10, 14], [9, 13, 16, 19, 23, 27], [8, 11, 15, 18], [8, 11, 15, 17], [11, 15, 18, 21, 29, 28, 32], [4, 8, 11, 14, 22, 21, 25], [3, 6, 10, 14], [8, 12, 15, 18, 22, 26], [3, 6, 10, 14], [8, 12, 15, 18, 22, 26], [0, 3, 6], [5, 9, 13, 15, 20], [6, 9, 13, 16], [11, 14, 18, 21], [10, 14, 18, 20, 25], [3, 6, 10, 14], [8, 12, 15, 18, 22], [3, 6, 10, 14], [10, 14, 18, 20, 25], [3, 7, 10, 13], [11, 15, 18, 21, 25, 28, 32], [4, 8, 11, 15, 18], [9, 13, 16, 19, 23, 27], [1, 5, 8, 11, 15, 18, 22], [11, 15, 18, 21, 25], [1, 5, 8, 11, 15, 18, 22], [3, 7, 10, 13], [8, 11, 15, 18], [11, 15, 18, 21, 25, 29], [5, 8, 12, 15], [10, 14, 18, 20, 25], [0, 4, 7, 10, 14, 18], [5, 9, 12, 15, 19, 22, 26], [11, 15, 18, 21], [4, 8, 11, 15, 18], [9, 13, 16, 19, 23, 27], [8, 12, 15, 18, 22], [10, 14, 17, 20], [1, 5, 8, 11], [3, 7, 10, 13, 18], [11, 15, 18, 21, 25], [4, 8, 11, 15, 18], [9, 13, 16, 19, 23, 27], [3, 8, 10], [4, 8, 11, 15, 18], [3, 8, 10]]"
26-2,Coltrane John,Medium Up Swing,F,,0,0,,"(4, 4)","[[5, 9, 12, 16], [8, 12, 15, 18], [1, 5, 8, 12], [4, 8, 11, 14], [9, 13, 16, 20], [0, 4, 7, 10], [0, 3, 7, 10], [5, 9, 12, 15], [10, 14, 17, 21], [1, 5, 8, 11], [6, 10, 13, 17], [9, 13, 16, 19], [2, 5, 9, 12], [7, 11, 14, 17], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 16], [8, 12, 15, 18], [1, 5, 8, 12], [4, 8, 11, 14], [9, 13, 16, 20], [0, 4, 7, 10], [0, 3, 7, 10], [5, 9, 12, 15], [10, 14, 17, 21], [8, 12, 15, 18], [1, 5, 8, 12], [4, 8, 11, 14], [9, 13, 16, 20], [0, 4, 7, 10], [5, 9, 12, 16], [0, 3, 7, 10], [5, 9, 12, 15], [4, 7, 11, 14], [9, 13, 16, 19], [2, 6, 9, 13], [5, 9, 12, 15], [10, 14, 17, 21], [3, 6, 10, 13], [8, 12, 15, 18], [1, 5, 8, 12], [7, 10, 14, 17], [0, 4, 7, 10], [5, 9, 12, 16], [8, 12, 15, 18], [1, 5, 8, 12], [4, 8, 11, 14], [9, 13, 16, 20], [0, 4, 7, 10], [0, 3, 7, 10], [5, 9, 12, 15], [10, 14, 17, 21], [8, 12, 15, 18], [1, 5, 8, 12], [4, 8, 11, 14], [9, 13, 16, 20], [0, 4, 7, 10], [5, 9, 12, 16]]"
